id,Blog_id,Post_id
1,47,1
2,10,2
3,30,3
4,51,4
5,65,5
6,87,6
7,28,7
8,67,8
9,96,9
10,44,10
11,52,11
12,99,12
13,58,13
14,12,14
15,61,15
16,7,16
17,87,17
18,2,18
19,6,19
20,39,20
21,7,21
22,9,22
23,1,23
24,82,24
25,6,25
26,93,26
27,75,27
28,67,28
29,13,29
30,76,30
31,52,31
32,99,32
33,72,33
34,48,34
35,74,35
36,79,36
37,53,37
38,65,38
39,39,39
40,40,40
41,33,41
42,90,42
43,51,43
44,44,44
45,15,45
46,30,46
47,79,47
48,91,48
49,41,49
50,23,50
51,88,51
52,53,52
53,99,53
54,92,54
55,52,55
56,100,56
57,76,57
58,82,58
59,37,59
60,6,60
61,37,61
62,31,62
63,5,63
64,38,64
65,71,65
66,12,66
67,52,67
68,90,68
69,78,69
70,46,70
71,91,71
72,58,72
73,86,73
74,98,74
75,21,75
76,25,76
77,79,77
78,39,78
79,78,79
80,54,80
81,29,81
82,59,82
83,47,83
84,8,84
85,94,85
86,1,86
87,8,87
88,71,88
89,10,89
90,23,90
91,54,91
92,6,92
93,64,93
94,34,94
95,13,95
96,74,96
97,29,97
98,17,98
99,7,99
100,92,100
101,19,101
102,48,102
103,97,103
104,63,104
105,56,105
106,71,106
107,23,107
108,30,108
109,56,109
110,90,110
111,65,111
112,53,112
113,19,113
114,91,114
115,76,115
116,15,116
117,44,117
118,55,118
119,67,119
120,59,120
121,41,121
122,63,122
123,34,123
124,37,124
125,50,125
126,54,126
127,83,127
128,90,128
129,71,129
130,8,130
131,8,131
132,54,132
133,50,133
134,69,134
135,56,135
136,1,136
137,13,137
138,87,138
139,57,139
140,90,140
141,54,141
142,14,142
143,64,143
144,65,144
145,49,145
146,86,146
147,27,147
148,60,148
149,67,149
150,4,150
151,98,151
152,36,152
153,91,153
154,10,154
155,43,155
156,54,156
157,64,157
158,60,158
159,11,159
160,79,160
161,16,161
162,87,162
163,23,163
164,48,164
165,25,165
166,34,166
167,32,167
168,13,168
169,83,169
170,4,170
171,42,171
172,84,172
173,28,173
174,3,174
175,97,175
176,37,176
177,75,177
178,63,178
179,18,179
180,8,180
181,8,181
182,86,182
183,2,183
184,71,184
185,21,185
186,92,186
187,48,187
188,24,188
189,32,189
190,16,190
191,88,191
192,42,192
193,51,193
194,22,194
195,89,195
196,34,196
197,69,197
198,86,198
199,21,199
200,17,200
201,16,201
202,29,202
203,96,203
204,69,204
205,64,205
206,32,206
207,50,207
208,17,208
209,18,209
210,54,210
211,24,211
212,20,212
213,96,213
214,45,214
215,94,215
216,94,216
217,8,217
218,63,218
219,49,219
220,60,220
221,94,221
222,43,222
223,35,223
224,15,224
225,10,225
226,38,226
227,100,227
228,23,228
229,84,229
230,46,230
231,84,231
232,59,232
233,32,233
234,28,234
235,23,235
236,78,236
237,45,237
238,23,238
239,29,239
240,69,240
241,58,241
242,22,242
243,81,243
244,20,244
245,47,245
246,11,246
247,20,247
248,85,248
249,70,249
250,43,250
251,30,251
252,79,252
253,3,253
254,60,254
255,84,255
256,59,256
257,53,257
258,12,258
259,33,259
260,45,260
261,76,261
262,34,262
263,7,263
264,52,264
265,95,265
266,32,266
267,93,267
268,96,268
269,82,269
270,94,270
271,89,271
272,11,272
273,22,273
274,36,274
275,20,275
